Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
PHM,LONG,Bolsa Española (IBEX),2025-06-09 09:00:00,2025-06-11 09:00:00,84.1,88.452,140.0,11746.77,5.17%,596.12,TRAILING_STOP,97.8%
AZN.L,LONG,Bolsa de Londres (FTSE),2025-06-09 10:00:00,2025-06-17 13:00:00,10728.0,10651.4288,0.9321,10000.0,-0.71%,-71.38,TRAILING_STOP,95.66000366210938%
META,LONG,Bolsa Americana (NASDAQ),2025-06-10 18:30:00,2025-06-30 14:30:00,700.5521,740.195,14.2745,10000.0,5.66%,565.88,TIEMPO_MAX,98.69000244140625%
NVDA,LONG,Bolsa Americana (NASDAQ),2025-06-11 14:30:00,2025-06-30 17:30:00,144.1501,157.5799,69.3721,10000.0,9.32%,931.65,TIEMPO_MAX,96.0999984741211%
ETH-USD,LONG,Criptomonedas (ETFs),2025-06-11 15:00:00,2025-06-12 16:00:00,2863.365,2742.7502,3.4924,10000.0,-4.21%,-421.23,TIEMPO_MAX,95.16999816894531%
AMD,LONG,Bolsa Americana (NASDAQ),2025-06-11 16:30:00,2025-06-16 13:30:00,121.86,118.0224,82.0614,10000.0,-3.15%,-314.92,TRAILING_STOP,96.3499984741211%
BTC-USD,LONG,Criptomonedas (ETFs),2025-06-11 17:00:00,2025-06-12 18:00:00,109120.0781,107499.3125,0.0916,10000.0,-1.49%,-148.53,TIEMPO_MAX,95.98999786376953%
CIE,LONG,Bolsa Española (IBEX),2025-06-12 09:00:00,2025-07-04 15:00:00,24.55,24.95,480.0,11794.46,1.63%,180.38,TIEMPO_MAX,96.44%
BP.L,LONG,Bolsa de Londres (FTSE),2025-06-13 14:00:00,2025-06-24 07:00:00,385.05,379.1317,25.9707,10000.0,-1.54%,-153.7,TRAILING_STOP,95.05000305175781%
ENC,LONG,Bolsa Española (IBEX),2025-06-16 09:00:00,2025-07-04 09:00:00,2.866,2.8709,3931.0,11265.62,0.17%,8.04,TRAILING_STOP,97.22%
AENA,LONG,Bolsa Española (IBEX),2025-06-16 09:00:00,2025-06-19 09:00:00,232.8,221.8584,97.0,22531.23,-4.7%,-1081.5,TRAILING_STOP,97.66%
SHEL.L,LONG,Bolsa de Londres (FTSE),2025-06-16 10:00:00,2025-06-24 07:00:00,2662.0,2612.4152,3.7566,10000.0,-1.86%,-186.27,TRAILING_STOP,96.08000183105469%
TRE,LONG,Bolsa Española (IBEX),2025-06-19 09:00:00,2025-06-23 09:00:00,19.34,18.431,580.0,11223.93,-4.7%,-538.75,TRAILING_STOP,96.24%
PHM,LONG,Bolsa Española (IBEX),2025-06-19 09:00:00,2025-06-23 09:00:00,79.75,79.6635,141.0,11223.93,-0.11%,-23.4,TRAILING_STOP,96.19%
AMS,LONG,Bolsa Española (IBEX),2025-06-19 09:00:00,2025-07-11 15:00:00,69.06,71.82,635.0,43843.47,4.0%,1708.37,TIEMPO_MAX,97.07%
AENA,LONG,Bolsa Española (IBEX),2025-06-23 09:00:00,2025-07-15 15:00:00,22.885,22.915,977.0,22361.51,0.13%,6.95,TIEMPO_MAX,98.88%
NFLX,LONG,Bolsa Americana (NASDAQ),2025-06-24 13:30:00,2025-07-10 13:30:00,127.2572,125.8133,78.581,10000.0,-1.13%,-113.46,TRAILING_STOP,95.45999908447266%
ETH-USD,LONG,Criptomonedas (ETFs),2025-06-25 04:00:00,2025-06-26 05:00:00,2436.5173,2475.5894,4.1042,10000.0,1.6%,160.36,TIEMPO_MAX,96.56999969482422%
AMD,LONG,Bolsa Americana (NASDAQ),2025-06-26 13:30:00,2025-07-01 13:30:00,142.75,138.6046,70.0525,10000.0,-2.9%,-290.39,TRAILING_STOP,97.68000030517578%
SHY,LONG,Renta Fija (Bonds),2025-06-27 09:00:00,2025-07-07 16:00:00,80.0663,79.9245,749.38,60000.0,-0.18%,-106.28,ROTACION_TESORERIA,SMA200_FILTRO
AVGO,LONG,Bolsa Americana (NASDAQ),2025-06-30 18:30:00,2025-07-18 18:30:00,273.78,283.32,36.5257,10000.0,3.48%,348.46,TIEMPO_MAX,95.69999694824219%
VIS,LONG,Bolsa Española (IBEX),2025-07-01 10:00:00,2025-07-23 17:00:00,60.3,59.2,174.0,10490.38,-1.82%,-201.86,TIEMPO_MAX,93.55%
GOLD,LONG,Materias Primas,2025-07-02 18:00:00,2025-07-09 16:00:00,3365.5,3320.7,2.9713,10000.0,-1.33%,-133.12,TIEMPO_MAX,97.16000366210938%
NVDA,LONG,Bolsa Americana (NASDAQ),2025-07-02 18:30:00,2025-07-22 18:30:00,156.8875,167.885,63.7399,10000.0,7.01%,700.98,TIEMPO_MAX,95.4800033569336%
FDR,LONG,Bolsa Española (IBEX),2025-07-03 09:00:00,2025-07-25 15:00:00,22.18,22.92,1074.0,23824.57,3.34%,771.04,TIEMPO_MAX,95.75%
MTS,LONG,Bolsa Española (IBEX),2025-07-03 09:00:00,2025-07-16 15:00:00,28.04,27.9059,376.0,10539.23,-0.48%,-60.96,TRAILING_STOP,97.61%
PHM,LONG,Bolsa Española (IBEX),2025-07-03 09:00:00,2025-07-08 15:00:00,81.5,80.703,129.0,10539.23,-0.98%,-113.6,TRAILING_STOP,96.34%
AAL.L,LONG,Bolsa de Londres (FTSE),2025-07-03 13:00:00,2025-07-09 15:00:00,2245.0,2165.6432,4.4543,10000.0,-3.53%,-353.48,TRAILING_STOP,94.05999755859375%
GOOGL,LONG,Bolsa Americana (NASDAQ),2025-07-03 15:30:00,2025-07-23 15:30:00,178.79,189.63,55.9315,10000.0,6.06%,606.3,TIEMPO_MAX,97.98999786376953%
TRE,LONG,Bolsa Española (IBEX),2025-07-07 09:00:00,2025-07-22 15:00:00,20.18,20.4876,591.0,11927.36,1.52%,169.88,TRAILING_STOP,95.7%
ALM,LONG,Bolsa Española (IBEX),2025-07-07 09:00:00,2025-07-16 09:00:00,10.66,10.4706,1119.0,11927.36,-1.78%,-223.84,TRAILING_STOP,95.95%
MSFT,LONG,Bolsa Americana (NASDAQ),2025-07-07 13:30:00,2025-07-23 16:30:00,497.605,504.1994,20.0963,10000.0,1.33%,132.52,TIEMPO_MAX,97.23999786376953%
AMZN,LONG,Bolsa Americana (NASDAQ),2025-07-07 15:30:00,2025-07-23 18:30:00,223.055,228.1,44.832,10000.0,2.26%,226.18,TIEMPO_MAX,98.51000213623047%
